"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017/10",101.4473,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017/11",101.4265,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017/12",101.3407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/1",101.3711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/2",101.5368,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/3",101.6398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/4",101.588,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/5",101.5006,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018/6",101.4417,
